"CubeId";"gdppr"
"PublishingDate";"2026-01-21 09:00"

"Date";"D0";"D1";"Value"
"1994-Q3";"VVP";"BBIP";"0.82173511"
"1994-Q4";"WMF";"BBIP";"115231.44990893"
"1994-Q4";"VVP";"BBIP";"0.34507785"
"1995-Q1";"WMF";"BBIP";"114788.01496183"
"1995-Q1";"VVP";"BBIP";"-0.38482111"
"1995-Q2";"WMF";"BBIP";"115155.3732651"
"1995-Q2";"VVP";"BBIP";"0.32003193"
"1995-Q3";"WMF";"BBIP";"115752.51408744"
"1995-Q3";"VVP";"BBIP";"0.51855229"
"1995-Q4";"WMF";"BBIP";"115506.08765842"
"1995-Q4";"VVP";"BBIP";"-0.21289078"
"1996-Q1";"WMF";"BBIP";"116410.6566464"
"1996-Q1";"VVP";"BBIP";"0.78313534"
"1996-Q2";"WMF";"BBIP";"115781.50312505"
"1996-Q2";"VVP";"BBIP";"-0.54046042"
"1996-Q3";"WMF";"BBIP";"115617.95009035"
"1996-Q3";"VVP";"BBIP";"-0.14126007"
"1996-Q4";"WMF";"BBIP";"116008.92945546"
"1996-Q4";"VVP";"BBIP";"0.33816493"
"1997-Q1";"WMF";"BBIP";"116562.41754529"
"1997-Q1";"VVP";"BBIP";"0.47710818"
"1997-Q2";"WMF";"BBIP";"117646.24640424"
"1997-Q2";"VVP";"BBIP";"0.92982702"
"1997-Q3";"WMF";"BBIP";"119369.94890157"
"1997-Q3";"VVP";"BBIP";"1.46515724"
"1997-Q4";"WMF";"BBIP";"119833.49617556"
"1997-Q4";"VVP";"BBIP";"0.38832828"
"1998-Q1";"WMF";"BBIP";"120839.51854682"
"1998-Q1";"VVP";"BBIP";"0.83951683"
"1998-Q2";"WMF";"BBIP";"122218.73640222"
"1998-Q2";"VVP";"BBIP";"1.14136325"
"1998-Q3";"WMF";"BBIP";"122021.31880306"
"1998-Q3";"VVP";"BBIP";"-0.1615281"
"1998-Q4";"WMF";"BBIP";"121259.61154538"
"1998-Q4";"VVP";"BBIP";"-0.62424113"
"1999-Q1";"WMF";"BBIP";"121907.31778422"
"1999-Q1";"VVP";"BBIP";"0.53414837"
"1999-Q2";"WMF";"BBIP";"122575.26903632"
"1999-Q2";"VVP";"BBIP";"0.54791727"
"1999-Q3";"WMF";"BBIP";"123484.30348947"
"1999-Q3";"VVP";"BBIP";"0.74161326"
"1999-Q4";"WMF";"BBIP";"126383.40429311"
"1999-Q4";"VVP";"BBIP";"2.34774844"
"2000-Q1";"WMF";"BBIP";"127007.59994119"
"2000-Q1";"VVP";"BBIP";"0.49389052"
"2000-Q2";"WMF";"BBIP";"127399.81531549"
"2000-Q2";"VVP";"BBIP";"0.30881252"
"2000-Q3";"WMF";"BBIP";"128396.29927175"
"2000-Q3";"VVP";"BBIP";"0.78217064"
"2000-Q4";"WMF";"BBIP";"129986.8564374"
"2000-Q4";"VVP";"BBIP";"1.23878739"
"2001-Q1";"WMF";"BBIP";"129890.20771037"
"2001-Q1";"VVP";"BBIP";"-0.07435269"
"2001-Q2";"WMF";"BBIP";"130466.61225703"
"2001-Q2";"VVP";"BBIP";"0.4437629"
"2001-Q3";"WMF";"BBIP";"130429.69321768"
"2001-Q3";"VVP";"BBIP";"-0.02829769"
"2001-Q4";"WMF";"BBIP";"130364.23784689"
"2001-Q4";"VVP";"BBIP";"-0.05018441"
"2002-Q1";"WMF";"BBIP";"130449.31227635"
"2002-Q1";"VVP";"BBIP";"0.06525902"
"2002-Q2";"WMF";"BBIP";"131107.66300597"
"2002-Q2";"VVP";"BBIP";"0.50467934"
"2002-Q3";"WMF";"BBIP";"131218.25268387"
"2002-Q3";"VVP";"BBIP";"0.08435028"
"2002-Q4";"WMF";"BBIP";"130357.8632421"
"2002-Q4";"VVP";"BBIP";"-0.65569341"
"2003-Q1";"WMF";"BBIP";"129540.51955957"
"2003-Q1";"VVP";"BBIP";"-0.62699991"
"2003-Q2";"WMF";"BBIP";"129386.79571583"
"2003-Q2";"VVP";"BBIP";"-0.11866854"
"2003-Q3";"WMF";"BBIP";"130545.67046939"
"2003-Q3";"VVP";"BBIP";"0.89566694"
"2003-Q4";"WMF";"BBIP";"131896.63265649"
"2003-Q4";"VVP";"BBIP";"1.0348579"
"2004-Q1";"WMF";"BBIP";"132740.97133903"
"2004-Q1";"VVP";"BBIP";"0.64015181"
"2004-Q2";"WMF";"BBIP";"133701.43156259"
"2004-Q2";"VVP";"BBIP";"0.72355974"
"2004-Q3";"WMF";"BBIP";"133764.78292698"
"2004-Q3";"VVP";"BBIP";"0.04738271"
"2004-Q4";"WMF";"BBIP";"134232.66270312"
"2004-Q4";"VVP";"BBIP";"0.349778"
"2005-Q1";"WMF";"BBIP";"135330.63825804"
"2005-Q1";"VVP";"BBIP";"0.81796452"
"2005-Q2";"WMF";"BBIP";"137022.51011845"
"2005-Q2";"VVP";"BBIP";"1.25017652"
"2005-Q3";"WMF";"BBIP";"138385.6122629"
"2005-Q3";"VVP";"BBIP";"0.99480162"
"2005-Q4";"WMF";"BBIP";"139751.25703215"
"2005-Q4";"VVP";"BBIP";"0.98684014"
"2006-Q1";"WMF";"BBIP";"141436.45797193"
"2006-Q1";"VVP";"BBIP";"1.20585745"
"2006-Q2";"WMF";"BBIP";"142667.39716839"
"2006-Q2";"VVP";"BBIP";"0.87031252"
"2006-Q3";"WMF";"BBIP";"143742.6467131"
"2006-Q3";"VVP";"BBIP";"0.75367573"
"2006-Q4";"WMF";"BBIP";"145730.32783523"
"2006-Q4";"VVP";"BBIP";"1.38280543"
"2007-Q1";"WMF";"BBIP";"146757.92405146"
"2007-Q1";"VVP";"BBIP";"0.70513546"
"2007-Q2";"WMF";"BBIP";"148805.49589111"
"2007-Q2";"VVP";"BBIP";"1.3952036"
"2007-Q3";"WMF";"BBIP";"150094.66302241"
"2007-Q3";"VVP";"BBIP";"0.86634376"
"2007-Q4";"WMF";"BBIP";"150959.8376673"
"2007-Q4";"VVP";"BBIP";"0.57641933"
"2008-Q1";"WMF";"BBIP";"151947.98953223"
"2008-Q1";"VVP";"BBIP";"0.65457931"
"2008-Q2";"WMF";"BBIP";"153628.98490172"
"2008-Q2";"VVP";"BBIP";"1.10629655"
"2008-Q3";"WMF";"BBIP";"154524.67507203"
"2008-Q3";"VVP";"BBIP";"0.5830216"
"2008-Q4";"WMF";"BBIP";"151014.94622325"
"2008-Q4";"VVP";"BBIP";"-2.27130641"
"2009-Q1";"WMF";"BBIP";"148565.57446741"
"2009-Q1";"VVP";"BBIP";"-1.62193996"
"2009-Q2";"WMF";"BBIP";"149036.47174682"
"2009-Q2";"VVP";"BBIP";"0.31696258"
"2009-Q3";"WMF";"BBIP";"150340.95991668"
"2009-Q3";"VVP";"BBIP";"0.87528117"
"2009-Q4";"WMF";"BBIP";"151223.12789959"
"2009-Q4";"VVP";"BBIP";"0.5867782"
"2010-Q1";"WMF";"BBIP";"153062.04243419"
"2010-Q1";"VVP";"BBIP";"1.21602731"
"2010-Q2";"WMF";"BBIP";"154255.12875267"
"2010-Q2";"VVP";"BBIP";"0.7794789"
"2010-Q3";"WMF";"BBIP";"155027.82974848"
"2010-Q3";"VVP";"BBIP";"0.50092402"
"2010-Q4";"WMF";"BBIP";"156160.90925044"
"2010-Q4";"VVP";"BBIP";"0.7308878"
"2011-Q1";"WMF";"BBIP";"156260.97259717"
"2011-Q1";"VVP";"BBIP";"0.06407708"
"2011-Q2";"WMF";"BBIP";"157504.95259285"
"2011-Q2";"VVP";"BBIP";"0.79609129"
"2011-Q3";"WMF";"BBIP";"156705.71505515"
"2011-Q3";"VVP";"BBIP";"-0.50743645"
"2011-Q4";"WMF";"BBIP";"157144.58352632"
"2011-Q4";"VVP";"BBIP";"0.28005901"
"2012-Q1";"WMF";"BBIP";"157808.41684119"
"2012-Q1";"VVP";"BBIP";"0.42243474"
"2012-Q2";"WMF";"BBIP";"158184.48706605"
"2012-Q2";"VVP";"BBIP";"0.23830809"
"2012-Q3";"WMF";"BBIP";"159513.83370981"
"2012-Q3";"VVP";"BBIP";"0.84037738"
"2012-Q4";"WMF";"BBIP";"159624.91062815"
"2012-Q4";"VVP";"BBIP";"0.06963466"
"2013-Q1";"WMF";"BBIP";"160223.27889245"
"2013-Q1";"VVP";"BBIP";"0.37485895"
"2013-Q2";"WMF";"BBIP";"161342.40674629"
"2013-Q2";"VVP";"BBIP";"0.69848018"
"2013-Q3";"WMF";"BBIP";"162471.67531422"
"2013-Q3";"VVP";"BBIP";"0.69992049"
"2013-Q4";"WMF";"BBIP";"162827.95501311"
"2013-Q4";"VVP";"BBIP";"0.21928727"
"2014-Q1";"WMF";"BBIP";"163910.03590169"
"2014-Q1";"VVP";"BBIP";"0.66455474"
"2014-Q2";"WMF";"BBIP";"165380.31777198"
"2014-Q2";"VVP";"BBIP";"0.8970054"
"2014-Q3";"WMF";"BBIP";"166370.51702058"
"2014-Q3";"VVP";"BBIP";"0.59874069"
"2014-Q4";"WMF";"BBIP";"167265.1981151"
"2014-Q4";"VVP";"BBIP";"0.53776421"
"2015-Q1";"WMF";"BBIP";"166949.71652101"
"2015-Q1";"VVP";"BBIP";"-0.18861162"
"2015-Q2";"WMF";"BBIP";"167230.56458598"
"2015-Q2";"VVP";"BBIP";"0.16822315"
"2015-Q3";"WMF";"BBIP";"168396.67336882"
"2015-Q3";"VVP";"BBIP";"0.69730601"
"2015-Q4";"WMF";"BBIP";"169613.55731439"
"2015-Q4";"VVP";"BBIP";"0.72262944"
"2016-Q1";"WMF";"BBIP";"170481.25028319"
"2016-Q1";"VVP";"BBIP";"0.51157053"
"2016-Q2";"WMF";"BBIP";"171290.64716132"
"2016-Q2";"VVP";"BBIP";"0.47477179"
"2016-Q3";"WMF";"BBIP";"172003.01324136"
"2016-Q3";"VVP";"BBIP";"0.41588148"
"2016-Q4";"WMF";"BBIP";"171549.61017178"
"2016-Q4";"VVP";"BBIP";"-0.26360182"
"2017-Q1";"WMF";"BBIP";"171671.58738019"
"2017-Q1";"VVP";"BBIP";"0.07110317"
"2017-Q2";"WMF";"BBIP";"173073.43396642"
"2017-Q2";"VVP";"BBIP";"0.81658625"
"2017-Q3";"WMF";"BBIP";"174434.64940645"
"2017-Q3";"VVP";"BBIP";"0.78649589"
"2017-Q4";"WMF";"BBIP";"176160.60115587"
"2017-Q4";"VVP";"BBIP";"0.98945465"
"2018-Q1";"WMF";"BBIP";"178416.5829283"
"2018-Q1";"VVP";"BBIP";"1.28063923"
"2018-Q2";"WMF";"BBIP";"180352.48995819"
"2018-Q2";"VVP";"BBIP";"1.08504882"
"2018-Q3";"WMF";"BBIP";"179682.31000571"
"2018-Q3";"VVP";"BBIP";"-0.37159451"
"2018-Q4";"WMF";"BBIP";"180219.11758826"
"2018-Q4";"VVP";"BBIP";"0.29875372"
"2019-Q1";"WMF";"BBIP";"180397.76845505"
"2019-Q1";"VVP";"BBIP";"0.09912981"
"2019-Q2";"WMF";"BBIP";"181607.05347545"
"2019-Q2";"VVP";"BBIP";"0.67034367"
"2019-Q3";"WMF";"BBIP";"182156.5347146"
"2019-Q3";"VVP";"BBIP";"0.30256602"
"2019-Q4";"WMF";"BBIP";"182486.02122703"
"2019-Q4";"VVP";"BBIP";"0.18088097"
"2020-Q1";"WMF";"BBIP";"180438.50461092"
"2020-Q1";"VVP";"BBIP";"-1.12201285"
"2020-Q2";"WMF";"BBIP";"168952.81997714"
"2020-Q2";"VVP";"BBIP";"-6.36542885"
"2020-Q3";"WMF";"BBIP";"179236.29041039"
"2020-Q3";"VVP";"BBIP";"6.08659295"
"2020-Q4";"WMF";"BBIP";"180834.60386453"
"2020-Q4";"VVP";"BBIP";"0.8917354"
"2021-Q1";"WMF";"BBIP";"182162.42052193"
"2021-Q1";"VVP";"BBIP";"0.73427133"
"2021-Q2";"WMF";"BBIP";"187191.03665959"
