"CubeId";"plimoinchq"
"PublishingDate";"2026-01-21 09:00"

"Date";"D0";"D1";"Value"
"1973-Q4";"EH";"TP1";
"1973-Q4";"EH";"TP2";
"1973-Q4";"EH";"AP";"61.24219431"
"1973-Q4";"EH";"TP";
"1973-Q4";"MH";"TP1";
"1973-Q4";"MH";"TP2";
"1973-Q4";"MH";"TP";
"1973-Q4";"MW";"AP";"51.60144608"
"1973-Q4";"BF";"AP";"69.42159538"
"1973-Q4";"GF";"AP";"72.88187677"
"1973-Q4";"VF";"AP";
"1974-Q1";"EW";"TP3";
"1974-Q1";"EW";"TP1";
"1974-Q1";"EW";"TP2";
"1974-Q1";"EW";"AP";"50.44648824"
"1974-Q1";"EW";"TP";
"1974-Q1";"EH";"TP3";
"1974-Q1";"EH";"TP1";
"1974-Q1";"EH";"TP2";
"1974-Q1";"EH";"AP";"60.41464797"
"1974-Q1";"EH";"TP";
"1974-Q1";"MH";"TP1";
"1974-Q1";"MH";"TP2";
"1974-Q1";"MH";"TP";
"1974-Q1";"MW";"AP";"52.16890779"
"1974-Q1";"BF";"AP";"64.96136707"
"1974-Q1";"GF";"AP";"66.2922662"
"1974-Q1";"VF";"AP";
"1974-Q2";"EW";"TP3";
"1974-Q2";"EW";"TP1";
"1974-Q2";"EW";"TP2";
"1974-Q2";"EW";"AP";"51.14737291"
"1974-Q2";"EW";"TP";
"1974-Q2";"EH";"TP3";
"1974-Q2";"EH";"TP1";
"1974-Q2";"EH";"TP2";
"1974-Q2";"EH";"AP";"60.03715854"
"1974-Q2";"EH";"TP";
"1974-Q2";"MH";"TP1";
"1974-Q2";"MH";"TP2";
"1974-Q2";"MH";"TP";
"1974-Q2";"MW";"AP";"53.14403917"
"1974-Q2";"BF";"AP";"68.93812055"
"1974-Q2";"GF";"AP";"62.92999681"
"1974-Q2";"VF";"AP";
"1974-Q3";"EW";"TP3";
"1974-Q3";"EW";"TP1";
"1974-Q3";"EW";"TP2";
"1974-Q3";"EW";"AP";"51.78060754"
"1974-Q3";"EW";"TP";
"1974-Q3";"EH";"TP3";
"1974-Q3";"EH";"TP1";
"1974-Q3";"EH";"TP2";
"1974-Q3";"EH";"AP";"60.23545096"
"1974-Q3";"EH";"TP";
"1974-Q3";"MH";"TP1";
"1974-Q3";"MH";"TP2";
"1974-Q3";"MH";"TP";
"1974-Q3";"MW";"AP";"53.64421039"
"1974-Q3";"BF";"AP";"66.74184237"
"1974-Q3";"GF";"AP";"63.11863572"
